Sl. No.,Constituent,Spec,Rate,Inclusion,Specification
3,Masonry & Plaster,1,150,"Basic brick walls
15mm cement plaster
Standard brick quality
Basic lintels
50mm RCC band","Standard bricks
1:6 cement mortar
Basic mesh at joints
10' floor height
Basic bond pattern"
3,Masonry & Plaster,2,175,"Better quality walls
20mm cement plaster
Better brick quality
Improved lintels
60mm RCC band","Better quality bricks
1:6 cement mortar
Standard mesh
10.5' floor height
Improved bond pattern"
3,Masonry & Plaster,3,200,"Good quality walls
25mm gypsum plaster
Good brick quality
Quality lintels
75mm RCC band","Good quality bricks
1:6 cement mortar
Chicken mesh
11' floor height
English bond"
3,Masonry & Plaster,4,225,"Premium walls
30mm gypsum plaster
Premium brick quality
Premium lintels
85mm RCC band","Premium quality bricks
1:5 cement mortar
Premium mesh
11.5' floor height
Premium bond pattern"
3,Masonry & Plaster,5,250,"Ultra-premium walls
35mm gypsum plaster
Ultra-premium bricks
Superior lintels
100mm RCC band","Ultra-premium bricks
1:4 cement mortar
Superior mesh
12' floor height
Complex bond pattern"
4,External doors & windows,1,200,"Standard wood doors 6.5'
Basic window frames
25mm door panels
Regular glass
Standard mesh","Local hardwood
Basic mosquito mesh
Simple beading
Basic veneer
Standard accessories"
4,External doors & windows,2,250,"Better wood doors 6.75'
Better window frames
30mm door panels
Toughened glass
Better mesh","Mixed hardwood
Better mosquito mesh
Quality beading
Better veneer
Better accessories"
4,External doors & windows,3,300,"Good teak doors 7'
Teak window frames
35mm door panels
Tempered glass
Quality mesh","Indian teak
Quality mosquito mesh
Teak beading
Good veneer
Hettich basic"
4,External doors & windows,4,350,"Premium teak doors 7.25'
Premium frames
40mm door panels
Premium glass
Premium mesh","Premium teak
Premium mesh
Premium beading
Premium veneer
Hettich premium"
4,External doors & windows,5,400,"Ultra-premium doors 7.5'
Luxury frames
45mm door panels
Smart glass
Designer mesh","Burma teak
Designer mesh
Luxury beading
Imported veneer
Hettich luxury"
5,Floor Finishes,1,150,"Basic vitrified tiles 2x2
15mm cement mortar
75mm skirting
Basic counter
5' bathroom dado","Standard tiles
Basic cement mix
Standard LDPE sheets"
5,Floor Finishes,2,175,"Better vitrified 3x3
18mm cement mortar
85mm skirting
Better counter
6' bathroom dado","Better quality tiles
1:5 cement mix
Better LDPE sheets"
5,Floor Finishes,3,200,"Good vitrified 4x4
20mm cement mortar
100mm skirting
Quality counter
7' bathroom dado","Kajaria basic
1:4 cement mix
Quality LDPE sheets"
5,Floor Finishes,4,225,"Premium vitrified 5x5
22mm cement mortar
115mm skirting
Premium counter
8' bathroom dado","Kajaria premium
1:3 cement mix
Premium LDPE sheets"
5,Floor Finishes,5,250,"Imported vitrified 6x6
25mm cement mortar
125mm skirting
Luxury counter
9' bathroom dado","Imported tiles
1:2 cement mix
Imported LDPE sheets"
6,Ceiling finishes,1,100,"Single coat putty
Basic emulsion","Basic surface prep
Local paint brand"
6,Ceiling finishes,2,125,"1.5 coat putty
Better emulsion","Better surface prep
Asian Paints basic"
6,Ceiling finishes,3,150,"Two coat putty
Good emulsion","Good surface prep
Asian Paints premium"
6,Ceiling finishes,4,175,"2.5 coat putty
Premium emulsion","Premium surface prep
Berger premium"
6,Ceiling finishes,5,200,"Three coat putty
Luxury emulsion","Luxury surface prep
Imported paint"
7,Internal DW,1,200,"10mm ply doors
3mm beading
Basic wood frame
Regular glass
Basic veneer","Local plywood
Basic beading
Standard frame
Plain glass
Local accessories"
7,Internal DW,2,250,"11mm ply doors
4mm beading
Better frame
Better glass
Better veneer","Green ply basic
Better beading
Better frame
Toughened glass
Better accessories"
7,Internal DW,3,300,"12mm ply doors
5mm beading
Good frame
Quality glass
Quality veneer","Green ply premium
Teak beading
Teak frame
Premium glass
Godrej basic"
7,Internal DW,4,350,"14mm ply doors
6mm beading
Premium frame
Premium glass
Premium veneer","Century ply
Premium beading
Premium frame
Smart glass
Godrej premium"
7,Internal DW,5,400,"16mm ply doors
7mm beading
Luxury frame
Designer glass
Luxury veneer","Imported ply
Luxury beading
Luxury frame
Smart tinted glass
Imported hardware"
8,Stairs,1,150,"Basic RCC stairs
Standard tiles
Basic railing","125mm waist slab
Standard tiles
275mm tread"
8,Stairs,2,175,"Better RCC stairs
Better tiles
Improved railing","135mm waist slab
Better tiles
285mm tread"
8,Stairs,3,200,"Good RCC stairs
Vitrified tiles
Quality railing","150mm waist slab
Kajaria tiles
300mm tread"
8,Stairs,4,225,"Premium stairs
Premium tiles
Designer railing","165mm waist slab
Premium tiles
315mm tread"
8,Stairs,5,250,"Luxury stairs
Imported tiles
Custom railing","175mm waist slab
Imported tiles
325mm tread"
9,Bathroom,1,200,"Basic marble
Standard tiles
Simple counter
Standard fixtures
Basic ceiling","Basic materials
Standard fittings
Simple design"
9,Bathroom,2,250,"Better marble
Better tiles
Better counter
Better fixtures
Better ceiling","Better materials
Better fittings
Improved design"
9,Bathroom,3,300,"Travertine
Green marble
Quality counter
Kohler basic
Good ceiling","Quality materials
Kohler basic
Good design"
9,Bathroom,4,350,"Premium stone
Premium marble
Premium counter
Kohler premium
Premium ceiling","Premium materials
Kohler premium
Premium design"
9,Bathroom,5,400,"Imported stone
Designer marble
Luxury counter
Kohler luxury
Luxury ceiling","Luxury materials
Kohler luxury
Custom design"
10,Kitchen,1,250,"Basic marble
Standard counter
Basic cabinets
Standard appliances","Basic materials
Standard fittings
Local brands"
10,Kitchen,2,300,"Better marble
Better counter
Better cabinets
Better appliances","Better materials
Better fittings
National brands"
10,Kitchen,3,350,"Botticino
White counter
Good cabinets
Bosch basic","Quality materials
Good fittings
Bosch basic"
10,Kitchen,4,400,"Premium stone
Premium counter
Premium cabinets
Bosch premium","Premium materials
Premium fittings
Bosch premium"
10,Kitchen,5,450,"Imported stone
Designer counter
Luxury cabinets
Bosch luxury","Luxury materials
Designer fittings
Bosch luxury"
11,Cabinetry,1,250,"Basic MDF
Simple designs
Standard hardware","Basic materials
Standard fittings
Local brands"
11,Cabinetry,2,300,"Better MDF
Better designs
Better hardware","Better materials
Better fittings
National brands"
11,Cabinetry,3,350,"Good MDF
Quality designs
Hettich basic","Quality materials
Good fittings
Hettich basic"
11,Cabinetry,4,400,"Premium MDF
Premium designs
Hettich premium","Premium materials
Premium fittings
Hettich premium"
11,Cabinetry,5,450,"Imported materials
Custom designs
Hettich luxury","Luxury materials
Designer fittings
Imported brands"
12,Lighting,1,150,"Basic switches
Standard bulbs
Simple sensors","Local brands
Basic features"
12,Lighting,2,175,"Better switches
Better bulbs
Better sensors","National brands
Better features"
12,Lighting,3,200,"Good switches
Smart bulbs
Quality sensors","Anchor basic
Smart features"
12,Lighting,4,225,"Premium switches
Premium smart
Premium sensors","Anchor premium
Advanced features"
12,Lighting,5,250,"Designer switches
Custom smart
Advanced sensors","Imported brands
Premium features"
13,Air comfort,1,200,"Basic AC
Standard install","1.5 ton basic
Standard brand"
13,Air comfort,2,250,"Better AC
Better install","1.5 ton better
Better brand"
13,Air comfort,3,300,"Good AC
Quality install","2 ton basic
Good brand"
13,Air comfort,4,350,"Premium AC
Premium install","2 ton premium
Premium brand"
13,Air comfort,5,400,"Luxury AC
Custom install","2 ton luxury
Imported brand"
14,Entertainment,1,150,"Basic system
Standard speakers","Basic setup
Local brand"
14,Entertainment,2,175,"Better system
Better speakers","Better setup
National brand"
14,Entertainment,3,200,"5.1 system
Good speakers","Quality setup
Sony basic"
14,Entertainment,4,225,"Premium system
Premium speakers","Premium setup
Sony premium"
14,Entertainment,5,250,"Custom system
Luxury speakers","Custom setup
Imported brand"
